DNS lookup Time,Period1, Period2,Period3, SSL Handshake Start,Send Client Hello,Receive Certificate,SSL Handshake Finish
5.000000,0.270148,71.780003,0.994240,0.000000,0.000000,0.000000,0.000000
5.000000,0.275510,121.322442,0.935457,0.000000,0.000000,0.000000,0.000000
5.000000,0.254978,349.642016,0.874681,0.000000,0.000000,0.000000,0.000000
8090.000000,0.440486,74.512521,0.293505,0.000000,0.000000,0.000000,0.000000
5052.000000,0.290335,348.426110,0.807148,0.000000,0.000000,0.000000,0.000000
3047.000000,0.284126,73.741015,0.798219,0.000000,0.000000,0.000000,0.000000
5.000000,0.279890,72.163686,1.092306,0.000000,0.000000,0.000000,0.000000
5013.000000,0.515811,74.577118,0.279962,0.000000,0.000000,0.000000,0.000000
5051.000000,0.528285,72.130938,0.804369,0.000000,0.000000,0.000000,0.000000
5.000000,0.272212,345.098948,1.008589,0.000000,0.000000,0.000000,0.000000
3008.000000,0.301368,71.282867,0.843283,0.000000,0.000000,0.000000,0.000000
3047.000000,0.269343,351.325460,0.955453,0.000000,0.000000,0.000000,0.000000
5.000000,0.271556,73.500268,0.938502,0.000000,0.000000,0.000000,0.000000
10018.000000,0.597971,69.030977,0.923494,0.000000,0.000000,0.000000,0.000000
3008.000000,0.300284,71.802534,0.937700,0.000000,0.000000,0.000000,0.000000
5.000000,0.290069,75.089262,0.930984,0.000000,0.000000,0.000000,0.000000
4.000000,0.309600,69.800061,0.814873,0.000000,0.000000,0.000000,0.000000
3008.000000,0.525346,347.446889,0.307219,0.000000,0.000000,0.000000,0.000000
3042.000000,0.297091,351.792563,0.337378,0.000000,0.000000,0.000000,0.000000
3008.000000,0.291016,74.011483,0.889559,0.000000,0.000000,0.000000,0.000000
5048.000000,0.298700,119.369063,0.825718,0.000000,0.000000,0.000000,0.000000
5051.000000,0.391921,71.519705,0.933202,0.000000,0.000000,0.000000,0.000000
4.000000,0.285923,119.835768,0.817056,0.000000,0.000000,0.000000,0.000000
3008.000000,0.308404,75.004907,0.912172,0.000000,0.000000,0.000000,0.000000
5.000000,0.275576,74.482002,0.991331,0.000000,0.000000,0.000000,0.000000
4.000000,0.516179,74.167349,0.744776,0.000000,0.000000,0.000000,0.000000
5.000000,0.302410,74.820888,0.964746,0.000000,0.000000,0.000000,0.000000
4.000000,0.526498,79.744496,0.490053,0.000000,0.000000,0.000000,0.000000
3008.000000,0.293136,71.836990,0.786899,0.000000,0.000000,0.000000,0.000000
5013.000000,0.464682,70.442503,0.960411,0.000000,0.000000,0.000000,0.000000
5014.000000,0.300831,70.744823,1.009180,0.000000,0.000000,0.000000,0.000000
5.000000,0.291150,349.853002,1.075118,0.000000,0.000000,0.000000,0.000000
3009.000000,0.326100,72.556323,0.796734,0.000000,0.000000,0.000000,0.000000
3009.000000,0.261852,345.076170,0.735566,0.000000,0.000000,0.000000,0.000000
3008.000000,0.285526,70.957735,0.921004,0.000000,0.000000,0.000000,0.000000
4.000000,0.313250,70.182117,0.921326,0.000000,0.000000,0.000000,0.000000
5012.000000,0.270903,71.162747,0.766142,0.000000,0.000000,0.000000,0.000000
5.000000,0.419773,71.140813,0.806774,0.000000,0.000000,0.000000,0.000000
5.000000,0.564946,354.274592,0.321660,0.000000,0.000000,0.000000,0.000000
5.000000,0.282790,71.712068,0.895070,0.000000,0.000000,0.000000,0.000000
3008.000000,0.284110,70.744420,0.745282,0.000000,0.000000,0.000000,0.000000
4.000000,0.273489,72.819987,0.914267,0.000000,0.000000,0.000000,0.000000
5014.000000,0.270358,119.647290,0.994380,0.000000,0.000000,0.000000,0.000000
6.000000,0.299072,345.290450,0.313281,0.000000,0.000000,0.000000,0.000000
4.000000,0.298770,76.247271,1.047209,0.000000,0.000000,0.000000,0.000000
4.000000,0.345561,74.496917,0.885768,0.000000,0.000000,0.000000,0.000000
5013.000000,0.280160,72.522825,0.947835,0.000000,0.000000,0.000000,0.000000
5.000000,0.329246,74.150962,0.803284,0.000000,0.000000,0.000000,0.000000
5.000000,0.281239,354.732902,0.335980,0.000000,0.000000,0.000000,0.000000
5.000000,0.264328,73.526497,0.995878,0.000000,0.000000,0.000000,0.000000
6.000000,0.286848,71.512970,0.873997,0.000000,0.000000,0.000000,0.000000
5.000000,0.294176,351.219481,1.025662,0.000000,0.000000,0.000000,0.000000
5051.000000,0.496831,74.938703,0.317846,0.000000,0.000000,0.000000,0.000000
8051.000000,0.292326,70.883454,1.024630,0.000000,0.000000,0.000000,0.000000
4.000000,0.534860,70.010766,0.931487,0.000000,0.000000,0.000000,0.000000
4.000000,0.273574,346.646180,0.960628,0.000000,0.000000,0.000000,0.000000
5.000000,0.273140,344.549394,0.921383,0.000000,0.000000,0.000000,0.000000
4.000000,0.285388,76.183306,1.078180,0.000000,0.000000,0.000000,0.000000
5.000000,0.284152,341.753105,0.988791,0.000000,0.000000,0.000000,0.000000
3009.000000,0.269591,76.600675,1.114403,0.000000,0.000000,0.000000,0.000000
5.000000,0.290916,72.866889,0.931269,0.000000,0.000000,0.000000,0.000000
5.000000,0.294740,70.786712,0.973531,0.000000,0.000000,0.000000,0.000000
5.000000,0.420613,74.100628,0.300891,0.000000,0.000000,0.000000,0.000000
5.000000,0.578905,72.935605,0.333990,0.000000,0.000000,0.000000,0.000000
5.000000,0.281797,116.679832,1.010631,0.000000,0.000000,0.000000,0.000000
3009.000000,0.280235,71.914645,0.888038,0.000000,0.000000,0.000000,0.000000
6.000000,0.476297,342.671065,0.350416,0.000000,0.000000,0.000000,0.000000
4.000000,0.295751,69.960671,0.908957,0.000000,0.000000,0.000000,0.000000
3046.000000,0.544371,73.703922,0.297403,0.000000,0.000000,0.000000,0.000000
5050.000000,0.546278,78.799616,0.766159,0.000000,0.000000,0.000000,0.000000
10057.000000,0.328933,74.190137,0.927055,0.000000,0.000000,0.000000,0.000000
3041.000000,0.289094,70.922636,0.801514,0.000000,0.000000,0.000000,0.000000
3008.000000,0.278679,75.381570,0.966008,0.000000,0.000000,0.000000,0.000000
5.000000,0.304169,74.064744,0.739367,0.000000,0.000000,0.000000,0.000000
6.000000,0.317371,74.800828,0.876734,0.000000,0.000000,0.000000,0.000000
5.000000,0.311065,74.823656,1.090884,0.000000,0.000000,0.000000,0.000000
5015.000000,0.302005,70.767104,0.576217,0.000000,0.000000,0.000000,0.000000
