DNS lookup Time,Period1, Period2,Period3, SSL Handshake Start,Send Client Hello,Receive Certificate,SSL Handshake Finish
5.000000,0.342501,104.852060,0.909995,0.000000,0.000000,0.000000,0.000000
5.000000,0.411189,113.183226,0.866814,0.000000,0.000000,0.000000,0.000000
5048.000000,0.317126,105.100428,0.909273,0.000000,0.000000,0.000000,0.000000
6.000000,0.312876,111.621868,0.971977,0.000000,0.000000,0.000000,0.000000
6.000000,0.312564,388.340123,0.306911,0.000000,0.000000,0.000000,0.000000
5.000000,0.327395,113.376440,0.999377,0.000000,0.000000,0.000000,0.000000
5.000000,0.484786,103.513332,0.833172,0.000000,0.000000,0.000000,0.000000
3050.000000,0.301035,106.180947,1.008753,0.000000,0.000000,0.000000,0.000000
5.000000,0.327963,111.002728,1.011600,0.000000,0.000000,0.000000,0.000000
5.000000,0.365169,111.376694,1.030218,0.000000,0.000000,0.000000,0.000000
3047.000000,0.350642,103.823263,0.884078,0.000000,0.000000,0.000000,0.000000
5.000000,0.570693,106.586014,0.899792,0.000000,0.000000,0.000000,0.000000
5.000000,0.314547,152.828289,0.896397,0.000000,0.000000,0.000000,0.000000
3044.000000,0.312866,110.761013,0.983177,0.000000,0.000000,0.000000,0.000000
6.000000,0.588677,163.215998,0.886595,0.000000,0.000000,0.000000,0.000000
3008.000000,0.323603,113.476827,0.904217,0.000000,0.000000,0.000000,0.000000
5.000000,0.310453,104.524634,0.839131,0.000000,0.000000,0.000000,0.000000
5.000000,0.285321,105.392542,0.938986,0.000000,0.000000,0.000000,0.000000
3043.000000,0.295721,106.547463,0.940123,0.000000,0.000000,0.000000,0.000000
5046.000000,0.765287,114.638036,0.983001,0.000000,0.000000,0.000000,0.000000
5049.000000,0.514664,616.023251,0.875074,0.000000,0.000000,0.000000,0.000000
6.000000,0.285857,106.763882,0.956748,0.000000,0.000000,0.000000,0.000000
6.000000,0.297854,378.301233,0.994031,0.000000,0.000000,0.000000,0.000000
3043.000000,0.290131,105.438010,0.830795,0.000000,0.000000,0.000000,0.000000
5012.000000,0.314794,140.886234,0.887982,0.000000,0.000000,0.000000,0.000000
5.000000,0.292579,106.845193,0.976544,0.000000,0.000000,0.000000,0.000000
4.000000,0.302212,113.705757,1.026026,0.000000,0.000000,0.000000,0.000000
5.000000,0.329030,104.920151,1.045662,0.000000,0.000000,0.000000,0.000000
5.000000,0.313497,106.020942,0.923956,0.000000,0.000000,0.000000,0.000000
5.000000,0.324425,104.066439,1.077265,0.000000,0.000000,0.000000,0.000000
3009.000000,0.281187,104.324300,1.019306,0.000000,0.000000,0.000000,0.000000
6.000000,0.311856,108.051084,0.939692,0.000000,0.000000,0.000000,0.000000
3007.000000,0.382012,106.293404,1.022762,0.000000,0.000000,0.000000,0.000000
5.000000,0.283456,149.289760,1.121932,0.000000,0.000000,0.000000,0.000000
5013.000000,0.311590,105.895296,0.923318,0.000000,0.000000,0.000000,0.000000
5.000000,0.330048,113.405785,1.099714,0.000000,0.000000,0.000000,0.000000
4.000000,0.311415,106.989056,0.940196,0.000000,0.000000,0.000000,0.000000
5.000000,0.623450,105.824101,0.384968,0.000000,0.000000,0.000000,0.000000
5.000000,0.476386,106.625000,0.306728,0.000000,0.000000,0.000000,0.000000
6.000000,0.312702,110.037156,0.953446,0.000000,0.000000,0.000000,0.000000
6.000000,0.304026,374.266689,0.325632,0.000000,0.000000,0.000000,0.000000
5.000000,0.521777,109.204577,0.847755,0.000000,0.000000,0.000000,0.000000
4.000000,0.281384,113.762230,0.948098,0.000000,0.000000,0.000000,0.000000
4.000000,0.298689,111.570171,0.957421,0.000000,0.000000,0.000000,0.000000
